title,year,length,budget,rating,votes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short,genre,highrating,RatedR
Dinosaur,2000,82,127.5,6.3,5839,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,PG,0,1,0,0,0,0,0,Animation,Yes,Not_R_rated
Diplomatic Siege,1999,96,45,3.5,340,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,R,1,0,0,0,0,0,0,Action,No,R_rated
Dirty Pretty Things,2002,97,10,7.6,6274,4.5,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,14.5,R,0,0,0,1,0,0,0,Drama,Yes,R_rated
Dirty Work,1998,82,13,5.9,4252,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,PG-13,0,0,1,0,0,0,0,Comedy,No,Not_R_rated
Divine Secrets of the Ya-Ya Sisterhood,2002,116,27,5.5,4288,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,PG-13,0,0,1,1,0,0,0,Comedy,No,Not_R_rated
Doctor Dolittle,1998,85,71.5,5.4,8287,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,4.5,PG-13,0,0,1,0,0,0,0,Comedy,No,Not_R_rated
Doctor Zhivago,1965,200,11,7.9,10283,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,PG-13,0,0,0,1,0,1,0,Drama,Yes,Not_R_rated
Dodgeball: A True Underdog Story,2004,92,20,6.6,14584,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,PG-13,0,0,1,0,0,0,0,Comedy,Yes,Not_R_rated
"Dog of Flanders, A",1999,100,7,6,179,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,14.5,PG,0,0,0,1,0,0,0,Drama,Yes,Not_R_rated
Dogma,1999,130,10,7.3,43391,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,R,0,0,1,0,0,0,0,Comedy,Yes,R_rated
Dom durakov,2002,104,2.5,6.8,382,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,24.5,R,0,0,0,1,0,0,0,Drama,Yes,R_rated
Domestic Disturbance,2001,91,53,5.4,4445,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,PG-13,0,0,0,1,0,0,0,Drama,No,Not_R_rated
Dominion,1995,95,1.3,5,85,4.5,4.5,4.5,14.5,14.5,34.5,4.5,4.5,4.5,14.5,R,0,0,0,1,0,0,0,Drama,No,R_rated
Don't Say a Word,2001,113,50,6.2,10098,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,R,0,0,0,1,0,0,0,Drama,Yes,R_rated
Donnie Brasco,1997,127,35,7.6,20029,4.5,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,14.5,R,0,0,0,1,0,0,0,Drama,Yes,R_rated
Donnie Darko,2001,133,4.5,8.3,51961,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,44.5,R,0,0,0,1,0,0,0,Drama,Yes,R_rated
Double Jeopardy,1999,105,40,5.9,13587,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,R,0,0,0,1,0,0,0,Drama,No,R_rated
Double Take,2001,91,24,4.8,1503,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,PG-13,1,0,1,0,0,0,0,Action,No,Not_R_rated
Double Tap,1997,87,8,5.3,184,4.5,4.5,4.5,14.5,14.5,14.5,24.5,14.5,4.5,4.5,R,1,0,0,0,0,0,0,Action,No,R_rated
Double Whammy,2001,100,4,5.6,886,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,R,0,0,1,1,0,0,0,Comedy,No,R_rated
Down Time,2001,90,0.02,3.5,55,24.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,34.5,R,0,0,0,1,0,0,0,Drama,No,R_rated
Down and Out with the Dolls,2001,88,1.2,6,37,4.5,4.5,14.5,14.5,4.5,4.5,14.5,24.5,4.5,24.5,R,0,0,1,0,0,0,0,Comedy,Yes,R_rated
Down to Earth,2001,87,30,5.1,3720,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,PG-13,0,0,1,0,0,1,0,Comedy,No,Not_R_rated
Down to You,2000,91,9,4.7,3232,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,PG-13,0,0,1,1,0,1,0,Comedy,No,Not_R_rated
Dr T and the Women,2000,122,12,4.8,4776,14.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,R,0,0,1,1,0,1,0,Comedy,No,R_rated
Dr. Dolittle 2,2001,87,72,5.1,4920,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,4.5,PG,0,0,1,0,0,0,0,Comedy,No,Not_R_rated
Dr. Jekyll and Ms. Hyde,1995,90,8,4.2,573,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,PG-13,0,0,1,0,0,0,0,Comedy,No,Not_R_rated
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,93,1.8,8.7,63471,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,44.5,PG,0,0,1,0,0,0,0,Comedy,Yes,Not_R_rated
Dracula,1992,128,40,7.1,19972,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,0,0,0,1,0,1,0,Drama,Yes,R_rated
Dragonfly,2002,104,60,5.8,5431,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,PG-13,0,0,0,1,0,0,0,Drama,No,Not_R_rated
Drive,1997,117,3.5,6.4,1086,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,24.5,R,1,0,1,0,0,0,0,Action,Yes,R_rated
Drive Me Crazy,1999,91,8,5.1,2934,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,PG-13,0,0,1,1,0,1,0,Comedy,No,Not_R_rated
Driven,2001,116,72,4.4,7129,14.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,PG-13,1,0,0,1,0,0,0,Action,No,Not_R_rated
Drowning Mona,2000,95,16,5.4,3454,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,PG-13,0,0,1,0,0,0,0,Comedy,No,Not_R_rated
Drumline,2002,118,20,5.3,7368,14.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,PG-13,0,0,1,1,0,1,0,Comedy,No,Not_R_rated
"Dude, Where's My Car?",2000,83,13,4.6,13330,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,PG-13,0,0,1,0,0,0,0,Comedy,No,Not_R_rated
Dudley Do-Right,1999,77,22,3.6,1790,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,PG,0,0,1,0,0,0,0,Comedy,No,Not_R_rated
Duets,2000,112,15,5.8,2414,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,R,0,0,1,1,0,0,0,Comedy,No,R_rated
Dumb & Dumber,1994,101,16,6.6,27713,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,PG-13,0,0,1,0,0,0,0,Comedy,Yes,Not_R_rated
Dumb and Dumberer: When Harry Met Lloyd,2003,85,19,3.3,4689,34.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,PG-13,0,0,1,0,0,0,0,Comedy,No,Not_R_rated
Dungeons & Dragons,2000,107,35,4,7435,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,PG-13,1,0,0,0,0,0,0,Action,No,Not_R_rated
Duplex,2003,89,40,5.7,4334,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,4.5,PG-13,0,0,1,0,0,0,0,Comedy,No,Not_R_rated
Dusting Cliff 7,1996,95,1.3,3.5,80,14.5,14.5,24.5,4.5,14.5,4.5,4.5,4.5,0,4.5,R,1,0,0,1,0,0,0,Action,No,R_rated
DysFunktional Family,2003,89,3,5.6,207,14.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,R,0,0,1,0,1,0,0,Comedy,No,R_rated
E.T. the Extra-Terrestrial,1982,120,10.5,7.8,44175,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,PG,0,0,0,1,0,0,0,Drama,Yes,Not_R_rated
Ed Wood,1994,127,18,8,22612,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,R,0,0,1,1,0,0,0,Comedy,Yes,R_rated
Eddie,1996,100,30,4.9,1348,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,4.5,PG-13,0,0,1,0,0,0,0,Comedy,No,Not_R_rated
Edges of the Lord,2001,95,7.5,7,639,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,24.5,R,0,0,0,1,0,0,0,Drama,Yes,R_rated
Edtv,1999,122,60,6.2,10085,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,PG-13,0,0,1,0,0,0,0,Comedy,Yes,Not_R_rated
Eight Legged Freaks,2002,99,30,5.5,6362,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,PG-13,1,0,1,0,0,0,0,Action,No,Not_R_rated
"Eighteenth Angel, The",1998,95,25,4.6,557,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,R,1,0,0,0,0,0,0,Action,No,R_rated
Election,1999,103,8.5,7.4,17521,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,R,0,0,1,0,0,0,0,Comedy,Yes,R_rated
Elektra,2005,96,43,4.9,5120,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,14.5,PG-13,1,0,0,0,0,0,0,Action,No,Not_R_rated
Elephant,2003,81,3,7.3,9203,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,R,0,0,0,1,0,0,0,Drama,Yes,R_rated
Elf,2003,95,33,7,10165,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,PG,0,0,1,0,0,0,0,Comedy,Yes,Not_R_rated
Elizabeth,1998,124,25,7.6,14733,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,R,0,0,0,1,0,0,0,Drama,Yes,R_rated
Ella Enchanted,2004,96,35,6.5,2502,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,PG,0,0,1,0,0,1,0,Comedy,Yes,Not_R_rated
Elvira's Haunted Hills,2001,90,1.5,5.2,307,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,14.5,PG-13,0,0,1,0,0,0,0,Comedy,No,Not_R_rated
Emma,1996,121,6,6.9,6431,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,PG,0,0,1,0,0,1,0,Comedy,Yes,Not_R_rated
Emmett's Mark,2002,104,4.5,6.2,427,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,R,0,0,0,1,0,0,0,Drama,Yes,R_rated
"Emperor's Club, The",2002,109,12.5,6.7,3056,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,PG-13,0,0,0,1,0,0,0,Drama,Yes,Not_R_rated
Empire,2002,90,3.5,6,1718,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,R,1,0,0,1,0,0,0,Action,Yes,R_rated
End of Days,1999,121,83,5.3,18237,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,R,1,0,0,0,0,0,0,Action,No,R_rated
"End of Violence, The",1997,122,5,5.4,1575,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,R,0,0,0,1,0,0,0,Drama,No,R_rated
"End of the Affair, The",1999,102,23,7,4808,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,0,0,0,1,0,1,0,Drama,Yes,R_rated
Enemy at the Gates,2001,131,70,7.3,19169,4.5,4.5,4.5,4.5,4.5,14.5,24.5,34.5,14.5,4.5,R,1,0,0,1,0,1,0,Action,Yes,R_rated
Enemy of the State,1998,131,90,7.1,23263,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,R,1,0,0,1,0,0,0,Action,Yes,R_rated
"English Patient, The",1996,160,27,7.1,25210,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,24.5,R,0,0,0,1,0,1,0,Drama,Yes,R_rated
Enough,2002,115,38,4.9,4339,14.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,PG-13,0,0,0,1,0,0,0,Drama,No,Not_R_rated
Enter the Dragon,1973,99,0.85,7.4,8078,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,1,0,0,0,0,0,0,Action,Yes,R_rated
Entrapment,1999,113,66,6.1,18543,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,PG-13,0,0,1,0,0,1,0,Comedy,Yes,Not_R_rated
Envy,2004,99,40,4.3,3417,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,PG-13,0,0,1,0,0,0,0,Comedy,No,Not_R_rated
Equilibrium,2002,107,20,7.6,17579,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,R,1,0,0,0,0,0,0,Action,Yes,R_rated
"Era of Vampire, The",2002,90,1,4.2,329,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,R,1,0,0,0,0,0,0,Action,No,R_rated
Eraser,1996,115,100,5.8,14641,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,R,1,0,0,1,0,0,0,Action,No,R_rated
Erin Brockovich,2000,130,51,7.3,24301,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,R,0,0,0,1,0,0,0,Drama,Yes,R_rated
Escanaba in da Moonlight,2001,91,1,5.5,373,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,34.5,PG-13,0,0,1,0,0,0,0,Comedy,No,Not_R_rated
Escape from L.A.,1996,101,50,4.8,7955,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,R,1,0,0,0,0,0,0,Action,No,R_rated
"Espinazo del diablo, El",2001,108,4.5,7.4,3474,4.5,4.5,4.5,4.5,4.5,14.5,24.5,34.5,14.5,14.5,R,0,0,0,1,0,0,0,Drama,Yes,R_rated
Eternal Sunshine of the Spotless Mind,2004,108,20,8.6,46240,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,44.5,R,0,0,1,1,0,1,0,Comedy,Yes,R_rated
Eulogy,2004,91,10,6.5,773,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,R,0,0,1,1,0,0,0,Comedy,Yes,R_rated
EuroTrip,2004,90,25,6.1,8390,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,14.5,R,0,0,1,0,0,0,0,Comedy,Yes,R_rated
Eve's Bayou,1997,109,5,7.2,2302,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,R,0,0,0,1,0,0,0,Drama,Yes,R_rated
Evelyn,2002,94,10,7.1,1163,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,PG,0,0,0,1,0,0,0,Drama,Yes,Not_R_rated
EvenHand,2002,92,0.5,7.3,169,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,34.5,R,0,0,0,1,0,0,0,Drama,Yes,R_rated
Ever After,1998,121,26,7,10250,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,PG,0,0,1,1,0,1,0,Comedy,Yes,Not_R_rated
"Everlasting Piece, An",2000,103,14,6.1,475,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,R,0,0,1,0,0,0,0,Comedy,Yes,R_rated
Everyone Says I Love You,1996,101,20,6.9,7314,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,0,0,1,0,0,1,0,Comedy,Yes,R_rated
Everything Put Together,2000,87,0.5,7.1,151,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,R,0,0,0,1,0,0,0,Drama,Yes,R_rated
Evil Alien Conquerors,2002,89,0.5,3.8,111,14.5,4.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,PG-13,0,0,1,0,0,0,0,Comedy,No,Not_R_rated
Evita,1996,134,55,6.2,8371,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,PG,0,0,0,1,0,0,0,Drama,Yes,Not_R_rated
Evolution,2001,101,80,5.8,14232,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,PG-13,0,0,1,0,0,0,0,Comedy,No,Not_R_rated
Exit Wounds,2001,101,33,5.3,5370,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,R,1,0,0,0,0,0,0,Action,No,R_rated
Exorcist: The Beginning,2004,114,30,5,4130,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,R,1,0,0,0,0,0,0,Action,No,R_rated
Extreme Ops,2002,94,40,4,1337,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,PG-13,1,0,0,0,0,0,0,Action,No,Not_R_rated
Eye for an Eye,1996,101,20,5.6,1843,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,R,0,0,0,1,0,0,0,Drama,No,R_rated
Eyes Wide Shut,1999,159,65,7,37868,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,R,0,0,0,1,0,0,0,Drama,Yes,R_rated
Facade,2000,93,6,4.8,93,24.5,4.5,4.5,4.5,14.5,14.5,4.5,14.5,4.5,4.5,R,1,0,0,0,0,0,0,Action,No,R_rated
Face/Off,1997,133,80,7.1,37506,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,1,0,0,1,0,0,0,Action,Yes,R_rated
Fahrenheit 9/11,2004,122,6,7.9,34666,14.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,44.5,R,0,0,0,0,1,0,0,Documentary,Yes,R_rated
Fair Game,1995,91,50,3.9,2579,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,R,1,0,1,1,0,0,0,Action,No,R_rated
Faithful,1996,91,13,5.6,414,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,14.5,R,0,0,1,0,0,0,0,Comedy,No,R_rated
"Falls, The",2003,85,0.075,5.7,29,14.5,4.5,4.5,0,0,14.5,4.5,14.5,24.5,24.5,R,0,0,0,1,0,0,0,Drama,No,R_rated
"Family Man, The",2000,125,60,6.5,11220,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,4.5,4.5,PG-13,0,0,1,1,0,1,0,Comedy,Yes,Not_R_rated
"Fantasma dell'opera, Il",1998,106,10,3.8,910,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,R,0,0,0,1,0,1,0,Drama,No,R_rated
Far from Heaven,2002,107,13.5,7.7,9167,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,PG-13,0,0,0,1,0,1,0,Drama,Yes,Not_R_rated
Fargo,1996,98,7,8.2,65597,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,R,0,0,0,1,0,0,0,Drama,Yes,R_rated
Fascination,2004,95,5,3.3,124,24.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,24.5,R,0,0,0,1,0,1,0,Drama,No,R_rated
"Fast and the Furious, The",2001,106,38,5.7,21428,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,PG-13,1,0,0,0,0,0,0,Action,No,Not_R_rated
Father of the Bride Part II,1995,106,30,5.6,4089,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,PG,0,0,1,0,0,0,0,Comedy,No,Not_R_rated
Fathers' Day,1997,98,85,4.7,2714,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,4.5,PG-13,0,0,1,0,0,0,0,Comedy,No,Not_R_rated
Female Trouble,1974,97,0.025,7.1,868,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,NC-17,0,0,1,0,0,0,0,Comedy,Yes,Not_R_rated
Feng yun xiong ba tian xia,1998,85,10,6.3,922,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,PG-13,1,0,0,0,0,0,0,Action,Yes,Not_R_rated
Festen,1998,105,1.3,8.2,11983,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,34.5,R,0,0,0,1,0,0,0,Drama,Yes,R_rated
Fever Pitch,2005,98,39.69,6.6,1712,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,PG-13,0,0,1,0,0,1,0,Comedy,Yes,Not_R_rated
"Fifth Element, The",1997,126,90,7.1,55398,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,PG-13,1,0,0,1,0,0,0,Action,Yes,Not_R_rated
Fight Club,1999,139,63,8.5,112092,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,44.5,R,0,0,0,1,0,0,0,Drama,Yes,R_rated
Final,2001,111,0.08,5.2,330,14.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,14.5,R,0,0,0,1,0,0,0,Drama,No,R_rated
Final Fantasy: The Spirits Within,2001,106,137,6.5,16451,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,PG-13,1,1,0,0,0,0,0,Action,Yes,Not_R_rated
Final Solution,2001,110,1.5,7,32,0,4.5,0,0,4.5,4.5,34.5,14.5,14.5,24.5,R,1,0,0,1,0,0,0,Action,Yes,R_rated
Finding Forrester,2000,136,43,7.3,13439,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,PG-13,0,0,0,1,0,0,0,Drama,Yes,Not_R_rated
Finding Graceland,1998,106,10,6.6,504,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,PG-13,0,0,0,1,0,0,0,Drama,Yes,Not_R_rated
Fire Over Afghanistan,2003,92,0.155,4.5,67,24.5,4.5,14.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,R,1,0,0,1,0,0,0,Action,No,R_rated
Firestorm,1998,89,19,4.4,987,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,R,1,0,0,0,0,0,0,Action,No,R_rated
"Firm, The",1993,154,42,6.6,14708,4.5,4.5,4.5,4.5,14.5,14.5,34.5,14.5,4.5,4.5,R,0,0,0,1,0,0,0,Drama,Yes,R_rated
First Knight,1995,134,75,5.6,8708,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,PG-13,0,0,0,1,0,1,0,Drama,No,Not_R_rated
"First Love, Last Rites",1997,94,0.3,5,147,4.5,4.5,4.5,4.5,4.5,14.5,14.5,4.5,4.5,14.5,R,0,0,0,1,0,1,0,Drama,No,R_rated
Flawless,1999,112,27,6.1,3287,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,R,0,0,1,1,0,0,0,Comedy,Yes,R_rated
Flight of the Phoenix,2004,113,45,6,2732,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,PG-13,1,0,0,0,0,0,0,Action,Yes,Not_R_rated
"Flintstones in Viva Rock Vegas, The",2000,90,58,3.7,1712,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,PG,0,0,1,0,0,0,0,Comedy,No,Not_R_rated
For Love of the Game,1999,137,50,6.1,5782,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,PG-13,0,0,0,1,0,1,0,Drama,Yes,Not_R_rated
Foreign Correspondents,1999,102,0.5,7.6,117,4.5,0,0,4.5,4.5,4.5,4.5,14.5,14.5,44.5,PG-13,0,0,0,1,0,1,0,Drama,Yes,Not_R_rated
"Foreigner, The",2003,96,20,3.1,904,24.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,R,1,0,0,0,0,0,0,Action,No,R_rated
Forever Lulu,2000,99,20,5.5,257,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,14.5,R,0,0,1,0,0,1,0,Comedy,No,R_rated
"Forgotten, The",2004,94,42,5.8,8234,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,PG-13,0,0,0,1,0,0,0,Drama,No,Not_R_rated
Forrest Gump,1994,142,55,8.2,89722,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,34.5,PG-13,0,0,1,1,0,0,0,Comedy,Yes,Not_R_rated
Fortress 2,1999,92,11,4.2,1027,14.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,R,1,0,0,0,0,0,0,Action,No,R_rated
"Four Feathers, The",2002,125,80,6.2,4400,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,PG-13,0,0,0,1,0,0,0,Drama,Yes,Not_R_rated
Four Rooms,1995,98,4,6,10675,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,R,0,0,1,1,0,0,0,Comedy,Yes,R_rated
Four Weddings and a Funeral,1994,117,6,7.2,17820,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,R,0,0,1,1,0,1,0,Comedy,Yes,R_rated
Frailty,2001,100,11,7.4,10551,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,R,0,0,0,1,0,0,0,Drama,Yes,R_rated
Frankenfish,2004,84,3,4.6,309,14.5,14.5,4.5,14.5,4.5,14.5,14.5,4.5,4.5,14.5,R,1,0,1,0,0,0,0,Action,No,R_rated
Frankenstein,1994,123,45,6,6941,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,R,0,0,0,1,0,0,0,Drama,Yes,R_rated
Freaky Friday,2003,97,26,6.9,8052,4.5,4.5,4.5,4.5,4.5,14.5,34.5,24.5,4.5,14.5,PG,0,0,1,1,0,0,0,Comedy,Yes,Not_R_rated
Freddy Got Fingered,2001,87,15,3.5,9115,34.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,R,0,0,1,0,0,0,0,Comedy,No,R_rated
Freddy Vs. Jason,2003,97,25,6.1,11109,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,14.5,R,1,0,0,0,0,0,0,Action,Yes,R_rated
Freddy's Dead: The Final Nightmare,1991,93,5,4.3,3618,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,R,0,0,1,0,0,0,0,Comedy,No,R_rated
Free Money,1998,91,30,4.7,619,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,R,0,0,1,0,0,0,0,Comedy,No,R_rated
Freeway,1996,102,3,6.5,4961,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,R,0,0,0,1,0,0,0,Drama,Yes,R_rated
